Batch_Number,Batch_Name,Items_Count,Solution_IDs_In_Batch,Batch_Prompt_Used,Status,Generated_Images,Notes
entryway-bench-storage,Entryway Bench with Shoe Storage,Home Organization,1,,,pending,
wall-key-mail-organizer,Wall Key/Mail Organizer,Home Organization,1,,,pending,
over-door-shoe-rack,Over-Door Shoe Rack,Home Organization,1,,,pending,
coat-hooks-shelf,Coat Hooks with Shelf,Home Organization,1,,,pending,
velvet-hangers,Slim Velvet Hangers,Home Organization,1,,,pending,
closet-shelf-dividers,Closet Shelf Dividers,Home Organization,1,,,pending,
double-hang-rod,Double Hang Closet Rod,Home Organization,1,,,pending,
hanging-closet-shelves,Hanging Closet Organizer Shelves,Home Organization,1,,,pending,
vacuum-storage-bags,Vacuum Storage Bags,Home Organization,1,,,pending,
under-bed-storage,Under-Bed Storage Containers,Home Organization,1,,,pending,
stackable-totes,Stackable Storage Totes,Home Organization,1,,,pending,
over-sink-cutting-board,Over-the-Sink Cutting Board,Kitchen,2,,,pending,
rolling-kitchen-cart,Rolling Kitchen Cart,Kitchen,2,,,pending,
fold-down-table,Wall-Mounted Fold-Down Table,Kitchen,2,,,pending,
counter-shelf-riser,Counter Shelf Riser,Kitchen,2,,,pending,
counter-shelf-organizer,Counter Shelf Organizer,Kitchen,2,,,pending,
appliance-garage,Appliance Garage/Cover,Kitchen,2,,,pending,
under-cabinet-hooks,Under-Cabinet Hooks & Storage,Kitchen,2,,,pending,
wall-mounted-organizer,Wall-Mounted Kitchen Organizer,Kitchen,2,,,pending,
corner-shelf-organizer,Corner Counter Shelf,Kitchen,2,,,pending,
tiered-counter-organizer,Tiered Counter Organizer,Kitchen,2,,,pending,
clear-food-containers,Clear Airtight Food Containers,Kitchen,2,,,pending,
lazy-susan,Cabinet Lazy Susan Turntable,Kitchen,2,,,pending,
pull-out-organizer,Pull-Out Cabinet Organizer,Kitchen,2,,,pending,
tiered-shelf-riser,Tiered Shelf Riser,Kitchen,2,,,pending,
lid-organizer,Lid Organizer Rack,Kitchen,2,,,pending,
container-drawer-dividers,Container Drawer Dividers,Kitchen,2,,,pending,
pull-out-container-bin,Pull-Out Container Bin,Kitchen,2,,,pending,
expandable-under-sink-shelf,Expandable Under-Sink Shelf,Kitchen,2,,,pending,
tension-rod-spray-bottles,Tension Rod for Spray Bottles,Kitchen,2,,,pending,
pull-out-under-sink-caddy,Pull-Out Under-Sink Caddy,Kitchen,2,,,pending,
cabinet-door-organizer,Cabinet Door Organizer,Kitchen,2,,,pending,
over-sink-dish-rack,Over-the-Sink Dish Rack,Kitchen,2,,,pending,
collapsible-dish-rack,Collapsible Dish Rack,Kitchen,2,,,pending,
roll-up-drying-mat,Roll-Up Sink Drying Mat,Kitchen,2,,,pending,
two-tier-dish-rack,Two-Tier Dish Rack,Kitchen,2,,,pending,
under-desk-cable-tray,Under-Desk Cable Tray,Home Office,3,,,pending,
cable-management-sleeve,Cable Management Sleeve,Home Office,3,,,pending,
cable-clips-velcro,Cable Clips & Velcro Straps,Home Office,3,,,pending,
cable-management-box,Cable Management Box,Home Office,3,,,pending,
ergonomic-chair,Ergonomic Office Chair,Home Office,3,,,pending,
laptop-stand,Laptop Stand/Riser,Home Office,3,,,pending,
monitor-arm,Monitor Arm Mount,Home Office,3,,,pending,
wrist-rest,Keyboard/Mouse Wrist Rest,Home Office,3,,,pending,
desktop-organizer,Desktop Organizer with Drawers,Home Office,3,,,pending,
monitor-stand-storage,Monitor Stand with Storage,Home Office,3,,,pending,
desk-shelf-riser,Desk Shelf Riser,Home Office,3,,,pending,
room-divider,Room Divider Screen,Home Office,3,,,pending,
video-backdrop,Video Call Backdrop Panel,Home Office,3,,,pending,
green-screen,Collapsible Green Screen,Home Office,3,,,pending,
wall-mounted-desk,Folding Wall-Mounted Desk,Home Office,3,,,pending,
corner-desk,Corner Desk Compact,Home Office,3,,,pending,
desk-with-storage,Desk with Built-in Storage,Home Office,3,,,pending,
foam-insert,High-Density Foam Insert,Living Room,4,,,pending,
cushion-support-board,Cushion Support Insert/Board,Living Room,4,,,pending,
fiberfill-stuffing,Polyester Fiberfill Stuffing,Living Room,4,,,pending,
cushion-wrap,Cushion Wrap/Batting,Living Room,4,,,pending,
pet-proof-slipcover,Pet-Proof Couch Slipcover,Living Room,4,,,pending,
scratch-protector,Scratch-Resistant Furniture Protector,Living Room,4,,,pending,
waterproof-pet-blanket,Waterproof Pet Blanket/Throw,Living Room,4,,,pending,
cable-raceway,Cable Raceway/Cover Kit,Living Room,4,,,pending,
in-wall-cable-kit,In-Wall Cable Management Kit,Living Room,4,,,pending,
tv-stand-cable-management,TV Stand with Cable Management,Living Room,4,,,pending,
apartment-size-sofa,Apartment-Size Sofa,Living Room,4,,,pending,
nesting-tables,Nesting Coffee Tables,Living Room,4,,,pending,
storage-ottoman,Storage Ottoman,Living Room,4,,,pending,
storage-coffee-table,Storage Coffee Table,Living Room,4,,,pending,
fabric-storage-cubes,Fabric Storage Cubes/Bins,Living Room,4,,,pending,
console-table-shelves,Console Table with Shelves,Living Room,4,,,pending,
storage-ottoman-cube,Ottoman with Storage,Living Room,4,,,pending,
blackout-curtains,Blackout Curtains,Bedroom,5,,,pending,
sleep-mask,Sleep Eye Mask,Bedroom,5,,,pending,
blackout-window-film,Blackout Window Film,Bedroom,5,,,pending,
curtain-light-blockers,Curtain Gap Light Blockers,Bedroom,5,,,pending,
white-noise-machine,White Noise Machine,Bedroom,5,,,pending,
sleep-earplugs,Noise Reducing Earplugs,Bedroom,5,,,pending,
soundproof-curtains,Sound Dampening Curtains,Bedroom,5,,,pending,
storage-bed-frame,Bed Frame with Built-In Storage,Bedroom,5,,,pending,
bed-risers,Bed Risers for Under-Bed Storage,Bedroom,5,,,pending,
floating-nightstand,Floating Nightstand,Bedroom,5,,,pending,
over-bed-storage,Over-Bed Storage Shelf,Bedroom,5,,,pending,
clothes-valet,Clothes Valet Stand,Bedroom,5,,,pending,
over-door-clothes-hooks,Over-Door Clothes Hooks,Bedroom,5,,,pending,
decorative-ladder,Decorative Ladder Rack,Bedroom,5,,,pending,
freestanding-clothes-rack,Freestanding Clothes Rack,Bedroom,5,,,pending,
bedside-caddy,Bedside Caddy/Pocket Organizer,Bedroom,5,,,pending,
clip-on-bed-shelf,Clip-On Bed Shelf,Bedroom,5,,,pending,
adhesive-wall-pocket,Adhesive Wall Pocket,Bedroom,5,,,pending,
c-table,C-Table/Slide Under Sofa Table,Bedroom,5,,,pending,
adhesive-shower-shelf,Adhesive Mount Shower Shelf,Bathroom,6,,,pending,
tension-pole-caddy,Tension Pole Shower Caddy,Bathroom,6,,,pending,
hanging-showerhead-caddy,Hanging Over-Showerhead Caddy with Grip,Bathroom,6,,,pending,
corner-shower-shelf,Shower Corner Shelf (Permanent),Bathroom,6,,,pending,
wall-medicine-cabinet,Wall-Mounted Medicine Cabinet,Bathroom,6,,,pending,
slim-bathroom-cabinet,Slim Freestanding Cabinet,Bathroom,6,,,pending,
over-door-bathroom-organizer,Over-Door Hanging Organizer,Bathroom,6,,,pending,
countertop-toiletry-organizer,Countertop Makeup/Toiletry Organizer,Bathroom,6,,,pending,
over-toilet-shelf,Over-the-Toilet Shelving Unit,Bathroom,6,,,pending,
bathroom-floating-shelves,Floating Shelves,Bathroom,6,,,pending,
over-toilet-cabinet,Over-the-Toilet Cabinet,Bathroom,6,,,pending,
bathroom-ladder-shelf,Ladder Shelf Unit,Bathroom,6,,,pending,
stackable-bathroom-bins,Stackable Storage Bins,Bathroom,6,,,pending,
two-tier-under-sink,Two-Tier Under-Sink Organizer,Bathroom,6,,,pending,
pull-out-bathroom-drawers,Pull-Out Bathroom Drawers,Bathroom,6,,,pending,
hair-tool-organizer,Hair Tool Organizer/Holder,Bathroom,6,,,pending,
over-cabinet-hair-station,Over-Cabinet Hair Tool Station,Bathroom,6,,,pending,
heat-resistant-caddy,Heat-Resistant Hair Tool Caddy,Bathroom,6,,,pending,
lint-brush-roller,Reusable Lint Brush Roller,Pet Owners,7,,,pending,
pet-hair-rake,Rubber Pet Hair Rake Tool,Pet Owners,7,,,pending,
pet-hair-laundry,Pet Hair Laundry Remover,Pet Owners,7,,,pending,
deshedding-brush,Deshedding Brush,Pet Owners,7,,,pending,
odor-control-litter,Odor-Control Clumping Litter,Pet Owners,7,,,pending,
litter-disposal-pail,Litter Disposal Pail,Pet Owners,7,,,pending,
air-purifier-pets,Air Purifier with Carbon Filter,Pet Owners,7,,,pending,
enzymatic-litter-deodorizer,Enzymatic Litter Deodorizer,Pet Owners,7,,,pending,
paw-washer,Paw Washer/Plunger Cup,Pet Owners,7,,,pending,
absorbent-door-mat,High-Absorbent Door Mat,Pet Owners,7,,,pending,
paw-cleaning-wipes,Dog Paw Cleaning Wipes,Pet Owners,7,,,pending,
dog-booties,Dog Booties/Paw Protectors,Pet Owners,7,,,pending,
no-spill-bowl,No-Spill Water Bowl,Pet Owners,7,,,pending,
elevated-feeding-station,Elevated Feeding Station with Catch Basin,Pet Owners,7,,,pending,
waterproof-feeding-mat,Waterproof Feeding Mat,Pet Owners,7,,,pending,
slow-feed-water-bowl,Slow-Feed Water Bowl,Pet Owners,7,,,pending,
enzymatic-cleaner,Enzymatic Pet Stain Cleaner,Pet Owners,7,,,pending,
uv-blacklight,UV Blacklight Urine Detector,Pet Owners,7,,,pending,
carpet-cleaner-machine,Carpet Cleaner Machine (Pet Formula),Pet Owners,7,,,pending,
odor-eliminating-spray,Odor-Eliminating Spray,Pet Owners,7,,,pending,
grout-cleaning-gel,Grout Cleaning Gel/Spray,Cleaning,8,,,pending,
electric-grout-brush,Electric Grout Cleaning Brush,Cleaning,8,,,pending,
steam-cleaner-grout,Steam Cleaner with Grout Attachment,Cleaning,8,,,pending,
grout-sealer,Grout Sealer (Prevention),Cleaning,8,,,pending,
ammonia-free-cleaner,Ammonia-Free Glass Cleaner,Cleaning,8,,,pending,
glass-microfiber,Glass-Specific Microfiber Cloths,Cleaning,8,,,pending,
window-squeegee,Window Squeegee,Cleaning,8,,,pending,
rubbing-alcohol,Rubbing Alcohol (Film Removal),Cleaning,8,,,pending,
hepa-vacuum,HEPA Filter Vacuum,Cleaning,8,,,pending,
air-purifier-hepa,Air Purifier with True HEPA,Cleaning,8,,,pending,
dust-trapping-cloths,Microfiber Dust-Trapping Cloths,Cleaning,8,,,pending,
allergen-covers,Mattress/Pillow Allergen Covers,Cleaning,8,,,pending,
soap-scum-spray,Soap Scum Dissolving Spray,Cleaning,8,,,pending,
daily-shower-spray,Daily Shower Spray (Prevention),Cleaning,8,,,pending,
hard-water-remover,Hard Water Stain Remover,Cleaning,8,,,pending,
shower-door-squeegee,Shower Door Squeegee,Cleaning,8,,,pending,
robot-vacuum,Robot Vacuum,Cleaning,8,,,pending,
multi-surface-cleaner,Multi-Surface Cleaning System,Cleaning,8,,,pending,
microfiber-cleaning-kit,Microfiber Cleaning Tool Kit,Cleaning,8,,,pending,
scrub-free-cleaner,Scrub-Free Bathroom Cleaner,Cleaning,8,,,pending,
